,Time,Extension,Load,Elastic Modulus
,(sec),(mm),(N),
,,,,
0,0.0,0.63666,-0.04966,
1,0.05,0.6356,-0.0494,
2,0.1,0.63106,-0.05497,
3,0.15,0.62213,-0.06726,
4,0.2,0.6116,-0.08644,
5,0.25,0.6012,-0.10473,
6,0.3,0.5912,-0.11999,
7,0.35,0.58173,-0.13498,
8,0.4,0.57267,-0.14905,
9,0.45,0.56347,-0.16064,
10,0.5,0.5548,-0.17439,
11,0.55,0.5464,-0.18587,
12,0.6,0.5376,-0.19828,
13,0.65,0.52893,-0.21051,
14,0.7,0.5208,-0.22111,
15,0.75,0.51213,-0.23394,
16,0.8,0.50347,-0.24518,
17,0.85,0.49533,-0.25791,
18,0.9,0.48693,-0.26714,
19,0.95,0.47827,-0.28177,
20,1.0,0.47027,-0.29177,
21,1.05,0.462,-0.30402,
22,1.1,0.45347,-0.31701,
23,1.15,0.44507,-0.32779,
24,1.2,0.4368,-0.34166,
25,1.25,0.4284,-0.35338,
26,1.3,0.42013,-0.36684,
27,1.35,0.41187,-0.379,
28,1.4,0.40347,-0.39176,
29,1.45,0.39533,-0.40588,
30,1.5,0.3868,-0.41832,
31,1.55,0.37853,-0.43133,
32,1.6,0.3704,-0.44574,
33,1.65,0.36187,-0.45849,
34,1.7,0.35333,-0.47284,
35,1.75,0.3452,-0.48683,
36,1.8,0.3368,-0.49734,
37,1.85,0.32813,-0.51722,
38,1.9,0.32,-0.52446,
39,1.95,0.31187,-0.54373,
40,2.0,0.30347,-0.55253,
41,2.05,0.2952,-0.57207,
42,2.1,0.28707,-0.58034,
43,2.15,0.27867,-0.5994,
44,2.2,0.27013,-0.61155,
45,2.25,0.26187,-0.62744,
46,2.3,0.2536,-0.6386,
47,2.35,0.2452,-0.65857,
48,2.4,0.23667,-0.66892,
49,2.45,0.22827,-0.68792,
50,2.5,0.22013,-0.69814,
51,2.55,0.21173,-0.7175,
52,2.6,0.2032,-0.72954,
53,2.65,0.19507,-0.74594,
54,2.7,0.1868,-0.75945,
55,2.75,0.17827,-0.77675,
56,2.8,0.17,-0.79066,
57,2.85,0.16187,-0.80428,
58,2.9,0.15333,-0.82201,
59,2.95,0.14507,-0.83647,
60,3.0,0.13693,-0.85127,
61,3.05,0.12867,-0.86417,
62,3.1,0.12,-0.88793,
63,3.15,0.11173,-0.8918,
64,3.2,0.10347,-0.91805,
65,3.25,0.0948,-0.92738,
66,3.3,0.08667,-0.94554,
67,3.35,0.0784,-0.9594,
68,3.4,0.07,-0.97747,
69,3.45,0.0616,-0.99024,
70,3.5,0.05333,-1.00807,
71,3.55,0.04493,-1.02237,
72,3.6,0.0368,-1.03801,
73,3.65,0.02827,-1.05545,
74,3.7,0.02,-1.06639,
75,3.75,0.01187,-1.09043,
76,3.8,0.00333,-1.09461,
77,3.85,-0.00493,-1.1211,
78,3.9,-0.01307,-1.12807,
79,3.95,-0.0216,-1.15107,
80,4.0,-0.03013,-1.15918,
81,4.05,-0.03813,-1.18405,
82,4.1,-0.04653,-1.19039,
83,4.15,-0.0552,-1.21471,
84,4.2,-0.06333,-1.22217,
85,4.25,-0.0716,-1.24567,
86,4.3,-0.08013,-1.25347,
87,4.35,-0.0884,-1.27728,
88,4.4,-0.09653,-1.28277,
89,4.45,-0.10493,-1.31084,
90,4.5,-0.1132,-1.31278,
91,4.55,-0.1216,-1.33903,
92,4.6,-0.12987,-1.34866,
93,4.65,-0.138,-1.36708,
94,4.7,-0.14653,-1.37765,
95,4.75,-0.15493,-1.3967,
96,4.8,-0.16307,-1.40288,
97,4.85,-0.1716,-1.41694,
98,4.9,-0.18013,-1.42585,
99,4.95,-0.18813,-1.44549,
100,5.0,-0.19653,-1.45039,
101,5.05,-0.20507,-1.45608,
102,5.1,-0.2132,-1.4637,
103,5.15,-0.22147,-1.47046,
104,5.2,-0.22987,-1.47749,
105,5.25,-0.23827,-1.48394,
106,5.3,-0.2464,-1.49801,
107,5.35,-0.2548,-1.51373,
108,5.4,-0.26307,-1.52777,
109,5.45,-0.27133,-1.54286,
110,5.5,-0.27973,-1.56217,
111,5.55,-0.28813,-1.57695,
112,5.6,-0.29653,-1.59759,
113,5.65,-0.30493,-1.60864,
114,5.7,-0.31307,-1.63118,
115,5.75,-0.3216,-1.64096,
116,5.8,-0.33,-1.66302,
117,5.85,-0.33827,-1.67434,
118,5.9,-0.34653,-1.6934,
119,5.95,-0.35507,-1.70758,
120,6.0,-0.3632,-1.72154,
121,6.05,-0.37133,-1.73935,
122,6.1,-0.37987,-1.75407,
123,6.15,-0.38827,-1.76922,
124,6.2,-0.3964,-1.78473,
125,6.25,-0.40467,-1.8,
126,6.3,-0.41333,-1.81563,
127,6.35,-0.42147,-1.83192,
128,6.4,-0.42987,-1.84405,
129,6.45,-0.4384,-1.86306,
130,6.5,-0.44667,-1.87575,
131,6.55,-0.45493,-1.89182,
132,6.6,-0.46333,-1.90527,
133,6.65,-0.47173,-1.91816,
134,6.7,-0.48,-1.93402,
135,6.75,-0.4884,-1.95044,
136,6.8,-0.49653,-1.95641,
137,6.85,-0.50507,-1.97573,
138,6.9,-0.51333,-1.99094,
139,6.95,-0.52147,-2.00315,
140,7.0,-0.53,-2.01886,
141,7.05,-0.53827,-2.01791,
142,7.1,-0.5464,-1.99048,
143,7.15,-0.55493,-2.00744,
144,7.2,-0.56333,-2.03242,
145,7.25,-0.57147,-2.04565,
146,7.3,-0.57987,-2.06636,
147,7.35,-0.58853,-2.08395,
148,7.4,-0.59667,-2.09886,
149,7.45,-0.60493,-2.11042,
150,7.5,-0.61347,-2.12841,
