,Time,Extension,Load,Elastic Modulus
,(sec),(mm),(N),
,,,,
0,0.0,-0.00013,-0.00015,
1,0.05,-0.00093,-0.00021,
2,0.1,-0.00467,-0.00027,
3,0.15,-0.01293,-0.0012,
4,0.2,-0.02387,-0.00012,
5,0.25,-0.03453,2e-05,
6,0.3,-0.0444,0.0,
7,0.35,-0.05427,0.0,
8,0.4,-0.0636,-0.00022,
9,0.45,-0.07267,-0.00137,
10,0.5,-0.08173,0.00046,
11,0.55,-0.09053,-0.00033,
12,0.6,-0.0992,-0.00062,
13,0.65,-0.10787,-0.00046,
14,0.7,-0.1164,-0.00014,
15,0.75,-0.12493,-0.00168,
16,0.8,-0.13333,0.00055,
17,0.85,-0.14173,-0.00247,
18,0.9,-0.15027,0.00069,
19,0.95,-0.15853,-0.00201,
20,1.0,-0.16653,-0.00066,
21,1.05,-0.17507,-0.00163,
22,1.1,-0.18347,-0.0009,
23,1.15,-0.19147,-0.00173,
24,1.2,-0.19973,-0.00118,
25,1.25,-0.20853,-0.00086,
26,1.3,-0.2168,-0.00241,
27,1.35,-0.22507,-0.001,
28,1.4,-0.23373,-0.00146,
29,1.45,-0.24213,-0.00175,
30,1.5,-0.2504,-0.00203,
31,1.55,-0.2588,-0.00096,
32,1.6,-0.2672,-0.0025,
33,1.65,-0.27533,-0.00214,
34,1.7,-0.28373,-0.00192,
35,1.75,-0.29187,-0.00182,
36,1.8,-0.3004,-0.00315,
37,1.85,-0.30867,-0.00149,
38,1.9,-0.3168,-0.00302,
39,1.95,-0.32533,-0.00187,
40,2.0,-0.3336,-0.00373,
41,2.05,-0.34173,-0.00136,
42,2.1,-0.35013,-0.00408,
43,2.15,-0.3588,-0.0022,
44,2.2,-0.36693,-0.00385,
45,2.25,-0.3752,-0.00171,
46,2.3,-0.38373,-0.00398,
47,2.35,-0.39187,-0.00249,
48,2.4,-0.40013,-0.00439,
49,2.45,-0.40853,-0.00258,
50,2.5,-0.41693,-0.00446,
51,2.55,-0.4252,-0.00276,
52,2.6,-0.4336,-0.00497,
53,2.65,-0.44187,-0.00238,
54,2.7,-0.45013,-0.00529,
55,2.75,-0.45853,-0.00322,
56,2.8,-0.46667,-0.00478,
57,2.85,-0.4752,-0.00305,
58,2.9,-0.4836,-0.00536,
59,2.95,-0.49173,-0.00434,
60,3.0,-0.50027,-0.00537,
61,3.05,-0.50867,-0.00484,
62,3.1,-0.5168,-0.00617,
63,3.15,-0.5252,-0.00528,
64,3.2,-0.53387,-0.00604,
65,3.25,-0.54187,-0.00579,
66,3.3,-0.55,-0.00748,
67,3.35,-0.5584,-0.00607,
68,3.4,-0.56667,-0.00696,
69,3.45,-0.57493,-0.00754,
70,3.5,-0.58347,-0.00787,
71,3.55,-0.59187,-0.008,
72,3.6,-0.6,-0.00858,
73,3.65,-0.6084,-0.00894,
74,3.7,-0.6168,-0.00997,
75,3.75,-0.62533,-0.01,
76,3.8,-0.63373,-0.01066,
77,3.85,-0.642,-0.01189,
78,3.9,-0.65027,-0.0112,
79,3.95,-0.65867,-0.0133,
80,4.0,-0.66693,-0.01334,
81,4.05,-0.6752,-0.01576,
82,4.1,-0.68373,-0.01484,
83,4.15,-0.692,-0.01702,
84,4.2,-0.7,-0.01683,
85,4.25,-0.70853,-0.01995,
86,4.3,-0.7168,-0.01846,
87,4.35,-0.72493,-0.02146,
88,4.4,-0.73333,-0.02216,
89,4.45,-0.742,-0.02437,
90,4.5,-0.75013,-0.02493,
91,4.55,-0.75853,-0.02739,
92,4.6,-0.76706,-0.02831,
93,4.65,-0.77533,-0.03168,
94,4.7,-0.7836,-0.03215,
95,4.75,-0.79213,-0.03707,
96,4.8,-0.8004,-0.03641,
97,4.85,-0.8088,-0.04299,
98,4.9,-0.81706,-0.04282,
99,4.95,-0.8252,-0.04731,
100,5.0,-0.83373,-0.04913,
101,5.05,-0.84186,-0.05484,
102,5.1,-0.85013,-0.05532,
103,5.15,-0.85866,-0.06124,
104,5.2,-0.86693,-0.06277,
105,5.25,-0.87506,-0.06807,
106,5.3,-0.8836,-0.07125,
107,5.35,-0.892,-0.07679,
108,5.4,-0.90013,-0.07963,
109,5.45,-0.90853,-0.08417,
110,5.5,-0.9172,-0.08811,
111,5.55,-0.92533,-0.0932,
112,5.6,-0.93373,-0.09588,
113,5.65,-0.94213,-0.10182,
114,5.7,-0.9504,-0.10528,
115,5.75,-0.95866,-0.11093,
116,5.8,-0.96693,-0.1138,
117,5.85,-0.9752,-0.11925,
118,5.9,-0.9836,-0.12342,
119,5.95,-0.99186,-0.12854,
120,6.0,-1.0,-0.13265,
121,6.05,-1.00853,-0.13827,
122,6.1,-1.01693,-0.14292,
123,6.15,-1.02506,-0.14844,
124,6.2,-1.0336,-0.15184,
125,6.25,-1.042,-0.15915,
126,6.3,-1.05013,-0.16246,
127,6.35,-1.0584,-0.16789,
128,6.4,-1.06706,-0.17299,
129,6.45,-1.0752,-0.17918,
130,6.5,-1.08346,-0.1839,
131,6.55,-1.09186,-0.18886,
132,6.6,-1.10026,-0.1954,
133,6.65,-1.10853,-0.20077,
134,6.7,-1.11666,-0.20569,
135,6.75,-1.12506,-0.21161,
136,6.8,-1.13333,-0.2173,
137,6.85,-1.14173,-0.22317,
138,6.9,-1.15013,-0.22892,
139,6.95,-1.15853,-0.23591,
140,7.0,-1.16693,-0.24223,
141,7.05,-1.1752,-0.24829,
142,7.1,-1.1836,-0.25465,
143,7.15,-1.192,-0.26161,
144,7.2,-1.20026,-0.26917,
145,7.25,-1.20853,-0.27515,
146,7.3,-1.21706,-0.2833,
