,Time,Extension,Load,Elastic Modulus
,(sec),(mm),(N),
,,,,
0,0.0,-0.00013,0.01982,
1,0.05,-0.00133,0.01347,
2,0.1,-0.00587,0.01745,
3,0.15,-0.01507,0.00806,
4,0.2,-0.02533,0.00742,
5,0.25,-0.03573,0.00133,
6,0.3,-0.0456,-0.00161,
7,0.35,-0.05507,-0.00825,
8,0.4,-0.0644,-0.00947,
9,0.45,-0.0732,-0.0143,
10,0.5,-0.08187,-0.01658,
11,0.55,-0.09053,-0.02106,
12,0.6,-0.0992,-0.02328,
13,0.65,-0.10773,-0.02703,
14,0.7,-0.11627,-0.02886,
15,0.75,-0.12453,-0.03436,
16,0.8,-0.1332,-0.0356,
17,0.85,-0.14147,-0.03974,
18,0.9,-0.14987,-0.04297,
19,0.95,-0.1584,-0.04605,
20,1.0,-0.16693,-0.04772,
21,1.05,-0.17493,-0.05312,
22,1.1,-0.18333,-0.05514,
23,1.15,-0.19187,-0.05797,
24,1.2,-0.19987,-0.06194,
25,1.25,-0.20813,-0.06402,
26,1.3,-0.2168,-0.06983,
27,1.35,-0.22493,-0.07072,
28,1.4,-0.23307,-0.07721,
29,1.45,-0.2416,-0.07745,
30,1.5,-0.24987,-0.08844,
31,1.55,-0.25813,-0.0838,
32,1.6,-0.26653,-0.09715,
33,1.65,-0.27493,-0.09575,
34,1.7,-0.28333,-0.10474,
35,1.75,-0.29173,-0.10616,
36,1.8,-0.29987,-0.11511,
37,1.85,-0.3084,-0.11728,
38,1.9,-0.31693,-0.12441,
39,1.95,-0.32493,-0.12819,
40,2.0,-0.33333,-0.13512,
41,2.05,-0.34187,-0.14078,
42,2.1,-0.35,-0.14792,
43,2.15,-0.35813,-0.15385,
44,2.2,-0.3668,-0.16047,
45,2.25,-0.37493,-0.16607,
46,2.3,-0.38307,-0.17107,
47,2.35,-0.3916,-0.18031,
48,2.4,-0.4,-0.18576,
49,2.45,-0.40813,-0.1938,
50,2.5,-0.41653,-0.20001,
51,2.55,-0.42507,-0.20576,
52,2.6,-0.4332,-0.21621,
53,2.65,-0.44173,-0.22309,
54,2.7,-0.45,-0.22481,
55,2.75,-0.45853,-0.24123,
56,2.8,-0.4668,-0.24038,
57,2.85,-0.47507,-0.25558,
58,2.9,-0.48333,-0.25877,
59,2.95,-0.49187,-0.26935,
60,3.0,-0.50013,-0.27583,
61,3.05,-0.50827,-0.28587,
62,3.1,-0.5168,-0.29336,
63,3.15,-0.5252,-0.30736,
64,3.2,-0.53333,-0.31157,
65,3.25,-0.54187,-0.32467,
66,3.3,-0.55027,-0.33309,
67,3.35,-0.5584,-0.34268,
68,3.4,-0.56667,-0.35389,
69,3.45,-0.5752,-0.36436,
70,3.5,-0.58333,-0.37338,
71,3.55,-0.5916,-0.38597,
72,3.6,-0.60013,-0.39766,
73,3.65,-0.6084,-0.40505,
74,3.7,-0.61653,-0.42035,
75,3.75,-0.62493,-0.43047,
76,3.8,-0.63333,-0.44091,
77,3.85,-0.6416,-0.45289,
78,3.9,-0.65,-0.4661,
79,3.95,-0.65813,-0.47711,
80,4.0,-0.6668,-0.48677,
81,4.05,-0.67507,-0.50143,
82,4.1,-0.6832,-0.51011,
83,4.15,-0.69173,-0.52977,
84,4.2,-0.70026,-0.53391,
85,4.25,-0.70826,-0.55247,
86,4.3,-0.7168,-0.56266,
87,4.35,-0.7252,-0.57862,
88,4.4,-0.7332,-0.58922,
89,4.45,-0.74146,-0.60459,
90,4.5,-0.75,-0.61459,
91,4.55,-0.75813,-0.63306,
92,4.6,-0.76653,-0.6428,
93,4.65,-0.77493,-0.65771,
94,4.7,-0.7832,-0.67905,
95,4.75,-0.79146,-0.67454,
96,4.8,-0.79986,-0.71249,
97,4.85,-0.80826,-0.70586,
98,4.9,-0.8168,-0.73747,
99,4.95,-0.82506,-0.74008,
100,5.0,-0.8332,-0.76559,
101,5.05,-0.84186,-0.76983,
102,5.1,-0.85013,-0.7952,
103,5.15,-0.85826,-0.79787,
104,5.2,-0.86666,-0.83076,
105,5.25,-0.87533,-0.82066,
106,5.3,-0.88333,-0.86651,
107,5.35,-0.8916,-0.85403,
108,5.4,-0.90013,-0.89127,
109,5.45,-0.90813,-0.88739,
110,5.5,-0.9164,-0.92193,
111,5.55,-0.92493,-0.92112,
112,5.6,-0.93333,-0.95113,
113,5.65,-0.9416,-0.95497,
114,5.7,-0.95013,-0.98436,
115,5.75,-0.95853,-0.98502,
116,5.8,-0.96666,-1.01663,
117,5.85,-0.97506,-1.0158,
118,5.9,-0.98346,-1.04875,
119,5.95,-0.99186,-1.04973,
120,6.0,-1.00013,-1.07744,
121,6.05,-1.00853,-1.08384,
122,6.1,-1.0168,-1.10864,
123,6.15,-1.0252,-1.11527,
124,6.2,-1.03346,-1.13948,
125,6.25,-1.0416,-1.14706,
126,6.3,-1.05013,-1.16996,
127,6.35,-1.05826,-1.1812,
128,6.4,-1.06653,-1.20374,
129,6.45,-1.07506,-1.21027,
130,6.5,-1.08346,-1.24018,
131,6.55,-1.0916,-1.24177,
132,6.6,-1.10013,-1.27029,
133,6.65,-1.10866,-1.27686,
134,6.7,-1.1168,-1.30119,
135,6.75,-1.1252,-1.30879,
136,6.8,-1.1336,-1.3314,
137,6.85,-1.14186,-1.343,
138,6.9,-1.15,-1.36212,
139,6.95,-1.15826,-1.37154,
140,7.0,-1.1668,-1.39697,
141,7.05,-1.17506,-1.39376,
142,7.1,-1.18333,-1.43402,
143,7.15,-1.19146,-1.42163,
144,7.2,-1.20013,-1.46383,
145,7.25,-1.2084,-1.45304,
146,7.3,-1.21666,-1.48668,
