,Time,Extension,Load,Elastic Modulus
,(sec),(mm),(N),
,,,,
167,8.35,-1.39173,-2.30436,
168,8.4,-1.39986,-2.32346,
169,8.45,-1.40813,-2.29445,
170,8.5,-1.41693,-2.29777,
171,8.55,-1.4252,-2.32174,
172,8.6,-1.43333,-2.34472,
173,8.65,-1.44186,-2.35754,
174,8.7,-1.45026,-2.38215,
175,8.75,-1.45826,-2.39217,
176,8.8,-1.46666,-2.4142,
177,8.85,-1.47493,-2.42749,
178,8.9,-1.48333,-2.44342,
179,8.95,-1.4916,-2.39721,
180,9.0,-1.49973,-2.42394,
181,9.05,-1.50826,-2.43928,
182,9.1,-1.51666,-2.46716,
183,9.15,-1.5248,-2.47908,
184,9.2,-1.5332,-2.50105,
185,9.25,-1.54173,-2.51687,
186,9.3,-1.55,-2.53758,
187,9.35,-1.55826,-2.55096,
188,9.4,-1.5668,-2.57252,
189,9.45,-1.5752,-2.58723,
190,9.5,-1.5832,-2.60663,
191,9.55,-1.59146,-2.61821,
192,9.6,-1.6,-2.64236,
193,9.65,-1.60813,-2.65237,
194,9.7,-1.61626,-2.67188,
195,9.75,-1.62466,-2.68412,
196,9.8,-1.63293,-2.70329,
197,9.85,-1.6412,-2.71775,
198,9.9,-1.64973,-2.73578,
199,9.95,-1.65826,-2.74921,
200,10.0,-1.66653,-2.769,
201,10.05,-1.67493,-2.78205,
202,10.1,-1.68333,-2.80232,
203,10.15,-1.69186,-2.81308,
204,10.2,-1.70013,-2.83469,
205,10.25,-1.70826,-2.8447,
206,10.3,-1.7168,-2.86389,
207,10.35,-1.72506,-2.87848,
208,10.4,-1.7332,-2.89492,
209,10.45,-1.7416,-2.90867,
210,10.5,-1.75026,-2.92634,
211,10.55,-1.75826,-2.93995,
212,10.6,-1.76653,-2.95627,
213,10.65,-1.77506,-2.96872,
214,10.7,-1.7832,-2.98576,
215,10.75,-1.79146,-2.99804,
216,10.8,-1.8,-3.01596,
217,10.85,-1.8084,-3.02611,
218,10.9,-1.8168,-3.0442,
219,10.95,-1.8252,-3.05833,
220,11.0,-1.83346,-3.0706,
221,11.05,-1.84186,-3.08616,
222,11.1,-1.85026,-3.10017,
223,11.15,-1.85813,-3.11491,
224,11.2,-1.86666,-3.1272,
225,11.25,-1.87493,-3.1417,
226,11.3,-1.88293,-3.15518,
227,11.35,-1.8916,-3.17018,
228,11.4,-1.9,-3.18357,
229,11.45,-1.908,-3.19987,
230,11.5,-1.9164,-3.21036,
231,11.55,-1.92506,-3.22779,
232,11.6,-1.9332,-3.24039,
233,11.65,-1.94146,-3.25659,
234,11.7,-1.95013,-3.26812,
235,11.75,-1.95853,-3.28754,
236,11.8,-1.9668,-3.29765,
237,11.85,-1.9752,-3.31448,
238,11.9,-1.9836,-3.32635,
239,11.95,-1.99173,-3.34169,
240,12.0,-2.00013,-3.35298,
241,12.05,-2.00826,-3.36837,
242,12.1,-2.01666,-3.37923,
243,12.15,-2.02493,-3.39445,
244,12.2,-2.03306,-3.40589,
245,12.25,-2.04146,-3.42144,
246,12.3,-2.04986,-3.43409,
247,12.35,-2.05813,-3.44934,
248,12.4,-2.06653,-3.46019,
249,12.45,-2.07506,-3.47596,
250,12.5,-2.08346,-3.49028,
251,12.55,-2.09159,-3.50374,
252,12.6,-2.10013,-3.51609,
253,12.65,-2.10853,-3.53241,
254,12.7,-2.11666,-3.5433,
255,12.75,-2.12493,-3.5573,
256,12.8,-2.13333,-3.57012,
257,12.85,-2.14146,-3.58374,
258,12.9,-2.14973,-3.59614,
259,12.95,-2.15826,-3.60968,
260,13.0,-2.16653,-3.62276,
261,13.05,-2.17479,-3.63674,
262,13.1,-2.18319,-3.64889,
263,13.15,-2.19159,-3.66307,
264,13.2,-2.19986,-3.67518,
265,13.25,-2.20839,-3.6891,
266,13.3,-2.21666,-3.70386,
267,13.35,-2.22506,-3.71503,
268,13.4,-2.23333,-3.72837,
269,13.45,-2.24146,-3.7414,
270,13.5,-2.24999,-3.7514,
271,13.55,-2.25826,-3.76859,
272,13.6,-2.26626,-3.7786,
273,13.65,-2.27466,-3.79377,
274,13.7,-2.28333,-3.80565,
275,13.75,-2.29146,-3.81979,
276,13.8,-2.29959,-3.83251,
277,13.85,-2.30826,-3.84408,
278,13.9,-2.31666,-3.86002,
279,13.95,-2.32493,-3.86886,
280,14.0,-2.33346,-3.88584,
281,14.05,-2.34186,-3.8982,
282,14.1,-2.35013,-3.90835,
283,14.15,-2.35853,-3.92351,
284,14.2,-2.36666,-3.93417,
285,14.25,-2.37506,-3.9475,
286,14.3,-2.38333,-3.95857,
287,14.35,-2.39146,-3.97275,
288,14.4,-2.40013,-3.98242,
289,14.45,-2.40839,-3.99777,
290,14.5,-2.41653,-4.00788,
291,14.55,-2.42506,-4.01561,
292,14.6,-2.43346,-4.03665,
293,14.65,-2.44146,-4.0399,
294,14.7,-2.44986,-4.05886,
295,14.75,-2.45853,-4.06675,
296,14.8,-2.46666,-4.0814,
297,14.85,-2.47493,-4.09257,
298,14.9,-2.48359,-4.10447,
299,14.95,-2.49186,-4.11673,
300,15.0,-2.49999,-4.12883,
301,15.05,-2.50839,-4.13963,
302,15.1,-2.51666,-4.15143,
303,15.15,-2.52479,-4.16031,
304,15.2,-2.53319,-4.17563,
305,15.25,-2.54146,-4.18057,
306,15.3,-2.54973,-4.19699,
307,15.35,-2.55799,-4.20482,
308,15.4,-2.56626,-4.21871,
309,15.45,-2.57506,-4.22828,
310,15.5,-2.58346,-4.24176,
311,15.55,-2.59159,-4.25379,
312,15.6,-2.60013,-4.26146,
313,15.65,-2.60853,-4.2755,
314,15.7,-2.61679,-4.2847,
315,15.75,-2.62493,-4.2988,
316,15.8,-2.63346,-4.30032,
317,15.85,-2.64186,-4.32216,
318,15.9,-2.64999,-4.32434,
319,15.95,-2.65826,-4.33972,
320,16.0,-2.66666,-4.34407,
321,16.05,-2.67479,-4.36042,
322,16.1,-2.68293,-4.36548,
323,16.15,-2.69146,-4.37644,
324,16.2,-2.69986,-4.38801,
325,16.25,-2.70813,-4.39842,
326,16.3,-2.71653,-4.40875,
327,16.35,-2.72506,-4.41887,
328,16.4,-2.73333,-4.43071,
329,16.45,-2.74173,-4.4416,
330,16.5,-2.75013,-4.45021,
331,16.55,-2.75853,-4.46073,
332,16.6,-2.76666,-4.47156,
333,16.65,-2.77479,-4.4776,
334,16.7,-2.78333,-4.4934,
335,16.75,-2.79186,-4.49604,
336,16.8,-2.79986,-4.51626,
337,16.85,-2.80813,-4.50987,
338,16.9,-2.81666,-4.54141,
339,16.95,-2.82479,-4.52738,
340,17.0,-2.83306,-4.558,
341,17.05,-2.84159,-4.55116,
342,17.1,-2.84973,-4.57363,
343,17.15,-2.85799,-4.57022,
344,17.2,-2.86653,-4.59712,
345,17.25,-2.87493,-4.58437,
346,17.3,-2.88319,-4.62099,
347,17.35,-2.89159,-4.60297,
348,17.4,-2.89986,-4.63756,
349,17.45,-2.90839,-4.62491,
350,17.5,-2.91666,-4.65214,
351,17.55,-2.92479,-4.64858,
352,17.6,-2.93333,-4.66572,
353,17.65,-2.94173,-4.67238,
354,17.7,-2.94973,-4.68041,
355,17.75,-2.95826,-4.69006,
356,17.8,-2.96666,-4.70019,
357,17.85,-2.97466,-4.71008,
358,17.9,-2.98306,-4.71456,
359,17.95,-2.99186,-4.73054,
360,18.0,-3.00013,-4.73391,
361,18.05,-3.00839,-4.75055,
362,18.1,-3.01706,-4.75047,
363,18.15,-3.02519,-4.76737,
364,18.2,-3.03346,-4.7685,
365,18.25,-3.04186,-4.78482,
366,18.3,-3.05013,-4.77766,
367,18.35,-3.05839,-4.81129,
368,18.4,-3.06666,-4.78937,
369,18.45,-3.07493,-4.82433,
370,18.5,-3.08333,-4.81526,
371,18.55,-3.09159,-4.83366,
372,18.6,-3.09986,-4.83527,
373,18.65,-3.10826,-4.85059,
374,18.7,-3.11679,-4.85151,
375,18.75,-3.12479,-4.86765,
376,18.8,-3.13319,-4.86697,
377,18.85,-3.14173,-4.88313,
378,18.9,-3.14999,-4.88581,
379,18.95,-3.15799,-4.89514,
380,19.0,-3.16653,-4.90318,
381,19.05,-3.17493,-4.90757,
382,19.1,-3.18306,-4.92005,
383,19.15,-3.19133,-4.92438,
384,19.2,-3.19986,-4.93448,
385,19.25,-3.20813,-4.93907,
386,19.3,-3.21639,-4.94926,
387,19.35,-3.22493,-4.95839,
388,19.4,-3.23333,-4.9604,
389,19.45,-3.24159,-4.97526,
390,19.5,-3.24999,-4.97951,
391,19.55,-3.25839,-4.9839,
392,19.6,-3.26666,-4.99932,
393,19.65,-3.27493,-4.99619,
394,19.7,-3.28319,-5.01295,
395,19.75,-3.29173,-5.01096,
396,19.8,-3.29999,-5.02841,
397,19.85,-3.30826,-5.02773,
398,19.9,-3.31666,-5.04046,
399,19.95,-3.32506,-5.04451,
400,20.0,-3.33306,-5.05381,
401,20.05,-3.34146,-5.05933,
402,20.1,-3.34999,-5.06397,
403,20.15,-3.35813,-5.07691,
404,20.2,-3.36639,-5.07786,
405,20.25,-3.37506,-5.08948,
406,20.3,-3.38333,-5.09268,
407,20.35,-3.39159,-5.10647,
408,20.4,-3.40013,-5.10537,
409,20.45,-3.40852,-5.12211,
410,20.5,-3.41666,-5.11821,
411,20.55,-3.42506,-5.13646,
412,20.6,-3.43332,-5.13305,
413,20.65,-3.44186,-5.14634,
