,Time,Extension,Load,Elastic Modulus
,(sec),(mm),(N),
,,,,
0,0.0,0.0,-0.00142,
1,0.05,-0.00107,-0.0006,
2,0.1,-0.00533,-0.00087,
3,0.15,-0.014,-0.00611,
4,0.2,-0.02467,-0.0105,
5,0.25,-0.03507,-0.01694,
6,0.3,-0.0452,-0.02392,
7,0.35,-0.0548,-0.02722,
8,0.4,-0.064,-0.03409,
9,0.45,-0.0732,-0.03878,
10,0.5,-0.08187,-0.04234,
11,0.55,-0.09053,-0.04781,
12,0.6,-0.09933,-0.05502,
13,0.65,-0.1076,-0.06013,
14,0.7,-0.116,-0.06577,
15,0.75,-0.12467,-0.06995,
16,0.8,-0.13293,-0.07613,
17,0.85,-0.1412,-0.08324,
18,0.9,-0.14973,-0.08939,
19,0.95,-0.15827,-0.09509,
20,1.0,-0.1664,-0.1025,
21,1.05,-0.17493,-0.11009,
22,1.1,-0.18347,-0.11699,
23,1.15,-0.19173,-0.12522,
24,1.2,-0.20013,-0.13047,
25,1.25,-0.20853,-0.14102,
26,1.3,-0.2168,-0.14705,
27,1.35,-0.2252,-0.15753,
28,1.4,-0.23333,-0.16313,
29,1.45,-0.2416,-0.17306,
30,1.5,-0.25,-0.18023,
31,1.55,-0.25827,-0.19095,
32,1.6,-0.2664,-0.19891,
33,1.65,-0.27507,-0.20898,
34,1.7,-0.2832,-0.21826,
35,1.75,-0.29147,-0.22808,
36,1.8,-0.30013,-0.23728,
37,1.85,-0.30853,-0.24779,
38,1.9,-0.31667,-0.25775,
39,1.95,-0.32507,-0.26891,
40,2.0,-0.33347,-0.27949,
41,2.05,-0.3416,-0.28988,
42,2.1,-0.34987,-0.30028,
43,2.15,-0.3584,-0.31269,
44,2.2,-0.36667,-0.32378,
45,2.25,-0.37493,-0.33537,
46,2.3,-0.3832,-0.34758,
47,2.35,-0.3916,-0.35996,
48,2.4,-0.39987,-0.37114,
49,2.45,-0.40813,-0.38436,
50,2.5,-0.4164,-0.39685,
51,2.55,-0.42507,-0.4086,
52,2.6,-0.43333,-0.42291,
53,2.65,-0.44147,-0.43475,
54,2.7,-0.45,-0.44837,
55,2.75,-0.4584,-0.46119,
56,2.8,-0.46653,-0.47592,
57,2.85,-0.47507,-0.48903,
58,2.9,-0.4836,-0.5037,
59,2.95,-0.4916,-0.51669,
60,3.0,-0.49973,-0.52951,
61,3.05,-0.50827,-0.54502,
62,3.1,-0.5164,-0.55813,
63,3.15,-0.52467,-0.57206,
64,3.2,-0.5332,-0.58614,
65,3.25,-0.5416,-0.60034,
66,3.3,-0.54987,-0.61528,
67,3.35,-0.55827,-0.62921,
68,3.4,-0.56653,-0.64424,
69,3.45,-0.57493,-0.66013,
70,3.5,-0.58347,-0.67473,
71,3.55,-0.59147,-0.69019,
72,3.6,-0.60013,-0.70471,
73,3.65,-0.6084,-0.72149,
74,3.7,-0.61653,-0.73562,
75,3.75,-0.62493,-0.75173,
76,3.8,-0.6336,-0.7663,
77,3.85,-0.6416,-0.78315,
78,3.9,-0.64973,-0.79674,
79,3.95,-0.6584,-0.81449,
80,4.0,-0.66653,-0.82927,
81,4.05,-0.6748,-0.84551,
82,4.1,-0.6832,-0.86133,
83,4.15,-0.6916,-0.87901,
84,4.2,-0.69986,-0.8936,
85,4.25,-0.7084,-0.91077,
86,4.3,-0.7168,-0.92873,
87,4.35,-0.72506,-0.94364,
88,4.4,-0.73346,-0.95889,
89,4.45,-0.74173,-0.97858,
90,4.5,-0.75013,-0.99284,
91,4.55,-0.75853,-1.01035,
92,4.6,-0.7668,-1.02626,
93,4.65,-0.77506,-1.04367,
94,4.7,-0.78346,-1.05863,
95,4.75,-0.7916,-1.07635,
96,4.8,-0.79986,-1.09196,
97,4.85,-0.80826,-1.10947,
98,4.9,-0.81653,-1.12459,
99,4.95,-0.8248,-1.14173,
100,5.0,-0.83346,-1.15755,
101,5.05,-0.84173,-1.17492,
102,5.1,-0.84986,-1.19038,
103,5.15,-0.8584,-1.20742,
104,5.2,-0.86693,-1.22356,
105,5.25,-0.87506,-1.24056,
106,5.3,-0.88346,-1.25694,
107,5.35,-0.89186,-1.27331,
108,5.4,-0.90013,-1.2901,
109,5.45,-0.9084,-1.3056,
110,5.5,-0.91666,-1.32326,
111,5.55,-0.92506,-1.33793,
112,5.6,-0.93346,-1.35612,
113,5.65,-0.9416,-1.37168,
114,5.7,-0.94986,-1.38912,
115,5.75,-0.9584,-1.4041,
116,5.8,-0.96666,-1.42305,
117,5.85,-0.97493,-1.43706,
118,5.9,-0.98346,-1.45516,
119,5.95,-0.99186,-1.47033,
120,6.0,-0.99986,-1.48925,
121,6.05,-1.00826,-1.50415,
122,6.1,-1.0168,-1.52387,
123,6.15,-1.02493,-1.53932,
124,6.2,-1.0332,-1.55826,
125,6.25,-1.0416,-1.57363,
126,6.3,-1.04986,-1.59233,
127,6.35,-1.05813,-1.60787,
128,6.4,-1.06653,-1.62579,
129,6.45,-1.0748,-1.64049,
130,6.5,-1.08306,-1.65776,
131,6.55,-1.09146,-1.67302,
132,6.6,-1.09986,-1.69072,
133,6.65,-1.10826,-1.70481,
134,6.7,-1.11666,-1.7223,
135,6.75,-1.1248,-1.73735,
136,6.8,-1.13333,-1.75296,
137,6.85,-1.14173,-1.76854,
138,6.9,-1.14986,-1.78155,
139,6.95,-1.15826,-1.7944,
140,7.0,-1.1668,-1.80894,
141,7.05,-1.17466,-1.82441,
142,7.1,-1.18293,-1.83329,
143,7.15,-1.19173,-1.83668,
144,7.2,-1.2,-1.84454,
145,7.25,-1.20813,-1.85598,
146,7.3,-1.21653,-1.86125,
