,Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa,Elastic Modulus
0,0.0,0.0,-0.01047145,0.000270142,0,0,0,0,0,0.0,0.0,0.01047145,0,0.0,0.0,270.142,inf
1,0.05,-0.001199997,-0.01040543,0.000268439,0,0,0,0,0,0.001199997,0.005454532,0.01040543,0,0.005454681,-0.001199997,268.4243,6232857.13475
2,0.1,-0.005466653,-0.01056722,0.0002726129,0,0,0,0,0,0.005466653,0.02484842,0.01056722,0,0.02485151,-0.005466653,272.5451,1389461.57906
3,0.15,-0.01439997,-0.01081551,0.0002790183,0,0,0,0,0,0.01439997,0.06545439,0.01081552,0,0.06547582,-0.01439997,278.8356,539874.877106
4,0.2,-0.02519994,-0.01131026,0.0002917816,0,0,0,0,0,0.02519994,0.1145452,0.01131026,0,0.1146108,-0.02519994,291.4474,322611.899769
5,0.25,-0.03533325,-0.01172095,0.0003023767,0,0,0,0,0,0.03533325,0.1606057,0.01172095,0,0.1607348,-0.03533325,301.8911,238444.070887
6,0.3,-0.04533322,-0.01216028,0.0003137104,0,0,0,0,0,0.04533322,0.2060601,0.01216028,0,0.2062727,-0.04533322,313.0639,192812.110268
7,0.35,-0.05479987,-0.01236786,0.0003190655,0,0,0,0,0,0.05479987,0.2490903,0.01236786,0,0.2494011,-0.05479987,318.2708,162226.699693
8,0.4,-0.06386652,-0.01283362,0.0003310813,0,0,0,0,0,0.06386652,0.2903023,0.01283362,0,0.2907245,-0.06386652,330.1201,144438.584566
9,0.45,-0.07306649,-0.01292038,0.0003333196,0,0,0,0,0,0.07306649,0.3321204,0.01292038,0,0.3326732,-0.07306649,332.2125,127105.499767
10,0.5,-0.0819998,-0.01330683,0.000343289,0,0,0,0,0,0.0819998,0.3727264,0.01330683,0,0.3734227,-0.0819998,342.0095,116645.802754
11,0.55,-0.09066644,-0.01354487,0.0003494301,0,0,0,0,0,0.09066644,0.4121202,0.01354487,0,0.4129717,-0.09066644,347.9901,107383.011247
12,0.6,-0.09946642,-0.01386846,0.0003577779,0,0,0,0,0,0.09946642,0.4521201,0.01386846,0,0.4531453,-0.09946642,356.1603,100221.073877
13,0.6500001,-0.1079997,-0.01396975,0.0003603911,0,0,0,0,0,0.1079997,0.4909079,0.01396975,0,0.4921168,-0.1079997,358.6219,92976.5411421
14,0.7000001,-0.116533,-0.01431233,0.000369229,0,0,0,0,0,0.1165331,0.5296957,0.01431233,0,0.5311036,-0.116533,367.2732,88281.2232672
15,0.7500001,-0.124933,-0.01442431,0.0003721178,0,0,0,0,0,0.124933,0.5678775,0.01442431,0,0.569496,-0.124933,370.0046,82989.8881868
16,0.8,-0.1330664,-0.0147696,0.0003810257,0,0,0,0,0,0.1330664,0.6048471,0.0147696,0,0.6066837,-0.1330664,378.7211,79782.4974157
17,0.85,-0.141733,-0.01479149,0.0003815904,0,0,0,0,0,0.141733,0.6442409,0.01479149,0,0.6463251,-0.141733,379.132,75015.0227421
18,0.9000001,-0.1499996,-0.01522425,0.0003927546,0,0,0,0,0,0.1499996,0.6818165,0.01522425,0,0.6841515,-0.1499996,390.0768,72954.6715888
19,0.9500001,-0.158133,-0.01524386,0.0003932606,0,0,0,0,0,0.158133,0.7187862,0.01524386,0,0.7213819,-0.158133,390.4338,69291.4647767
20,1.0,-0.1667996,-0.01539698,0.0003972109,0,0,0,0,0,0.1667996,0.75818,0.01539698,0,0.7610688,-0.1667996,394.1993,66351.0563634
