Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,-0.000266666,-0.03197981,0.0008646371,0,0,0,0,0,0,0,0.03197981,0,0,-0.000266666,864.6371
0.05,-0.00133333,-0.03207114,0.0008671064,0,0,0,0,0,0.001066664,0.00412317,0.03207114,0,0.004123255,-0.00133333,867.0707
0.1,-0.00573332,-0.03239045,0.0008757395,0,0,0,0,0,0.005466654,0.02113125,0.03239045,0,0.02113348,-0.00573332,875.5544
0.15,-0.01479996,-0.03383218,0.0009147194,0,0,0,0,0,0.0145333,0.05617819,0.03383218,0,0.05619398,-0.01479996,914.2056
0.2,-0.02506661,-0.03507294,0.0009482659,0,0,0,0,0,0.02479994,0.0958637,0.03507294,0,0.09590968,-0.02506661,947.3569
0.25,-0.03559991,-0.03693371,0.0009985755,0,0,0,0,0,0.03533325,0.13658,0.03693371,0,0.1366734,-0.03559991,997.2116
0.3,-0.04559989,-0.03828696,0.001035163,0,0,0,0,0,0.04533322,0.1752347,0.03828696,0,0.1753884,-0.04559989,1033.349
0.35,-0.0549332,-0.03952015,0.001068505,0,0,0,0,0,0.05466653,0.2113125,0.03952014,0,0.211536,-0.0549332,1066.247
0.4,-0.06426651,-0.04081869,0.001103614,0,0,0,0,0,0.06399985,0.2473902,0.04081869,0,0.2476967,-0.06426651,1100.883
0.45,-0.07346649,-0.04169212,0.001127228,0,0,0,0,0,0.07319982,0.2829525,0.04169212,0,0.2833536,-0.07346649,1124.039
0.5,-0.0819998,-0.04313182,0.001166154,0,0,0,0,0,0.08173314,0.3159379,0.04313182,0,0.3164381,-0.0819998,1162.469
0.55,-0.09079978,-0.04381216,0.001184548,0,0,0,0,0,0.09053311,0.3499541,0.04381216,0,0.3505678,-0.09079978,1180.403
0.6,-0.09946642,-0.04506523,0.001218427,0,0,0,0,0,0.09919976,0.3834548,0.04506523,0,0.3841919,-0.09946642,1213.755
0.6500001,-0.1075997,-0.04563608,0.001233861,0,0,0,0,0,0.1073331,0.414894,0.04563608,0,0.415757,-0.1075997,1228.742
0.7000001,-0.1161331,-0.04692367,0.001268674,0,0,0,0,0,0.1158664,0.4478793,0.04692367,0,0.4488853,-0.1161331,1262.992
0.7500001,-0.1246664,-0.04745423,0.001283018,0,0,0,0,0,0.1243997,0.4808647,0.04745423,0,0.4820246,-0.1246664,1276.849
0.8,-0.1330664,-0.04863165,0.001314852,0,0,0,0,0,0.1327997,0.5133347,0.04863165,0,0.5146568,-0.1330664,1308.103
0.85,-0.141333,-0.04942891,0.001336408,0,0,0,0,0,0.1410663,0.5452892,0.04942891,0,0.5467814,-0.141333,1329.121
0.9000001,-0.1499996,-0.05029161,0.001359732,0,0,0,0,0,0.149733,0.5787899,0.05029161,0,0.5804714,-0.1499996,1351.863
0.9500001,-0.1583996,-0.05113787,0.001382613,0,0,0,0,0,0.158133,0.61126,0.05113787,0,0.6131358,-0.1583996,1374.161
1,-0.1667996,-0.05186466,0.001402263,0,0,0,0,0,0.1665329,0.6437299,0.05186466,0,0.6458108,-0.1667996,1393.236
1.05,-0.1750662,-0.05282634,0.001428264,0,0,0,0,0,0.1747996,0.6756845,0.05282634,0,0.6779775,-0.1750662,1418.613
1.1,-0.1835995,-0.05364919,0.001450511,0,0,0,0,0,0.1833329,0.7086698,0.05364919,0,0.7111928,-0.1835995,1440.232
