Time,Sample     ,Program Temperature,Frequency     ,Raw Dynamic,Raw Static,In-Phase     ,Out-Of-Phase,Zero Displacement,Min Displacement,Max Displacement,Spring     ,C*     ,Measured     ,Corrected     ,Corrected     ,Stiffness*,Total     ,Stiffness     ,Inertia     ,Sample     ,Ratio of     ,Total     ,Sample     ,Total Applied,Static Force,Static     ,Static     ,Static     ,Static Stress,Static     ,Static Strain,Static     ,Dynamic Force,Displacement,Dynamic     ,Dynamic     ,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage     ,Complex     ,Shear Storage Modulus,Shear Loss Modulus,Complex     ,Shear Complex 
          ,Temperature,Temperature,          ,Force     ,Force     ,Angle     ,Angle     ,               ,               ,               ,Stiffness     ,          ,Tan Delta     ,Total Tan Delta,Total Delta,          ,Stiffness',Less Spring,          ,Stiffness',Sample to Total,Stiffness'',Stiffness'',Static Force,          ,Force Corrected,Displacement,Displacement Co,          ,Stress Correcte,          ,Strain Correcte,          ,Amplitude     ,Stress     ,Strain     ,Modulus     ,          ,          ,               ,Viscosity     ,Viscosity     ,Modulus     ,Modulus     ,Modulus     ,Modulus      
1.220181,252.7,252.440361,1.000001,31,2069,595304.125,27787.375,42003684.875,40077.125,41963.25,0.000045,595952.296288,0.046678,0.033923,0.03391,2726.61047,2726.253492,392.463707,1.863819,394.327526,0.144542,92.524431,91.141606,0.114703,0.363024,0.001155,0.106402,0.004878,111682.544992,355.394831,0.018832,0.000863,0.011681,0.02962,3593.589832,0.005242,685417.788631,158421.804575,0.231132,25213.593318,109087.542728,111963.463981,253858.440234,58674.742435,703487.749102,260551.018186
1.349661,252.9375,252.699323,1.000001,31,2069,594993,27935.75,42001401,40074.375,41963.625,0.000045,595648.450159,0.046951,0.034197,0.034183,2728.001341,2727.619386,393.800022,1.863819,395.66384,0.144959,93.317141,91.934299,0.114703,0.363196,0.001327,0.106475,0.00495,111735.380893,408.230731,0.018845,0.000876,0.011715,0.029605,3603.963539,0.00524,687740.562072,159799.659102,0.232355,25432.885504,109457.22331,112373.107992,254718.726693,59185.058927,706061.620376,261504.303843
1.484862,253.225,252.969723,1.000001,31,2069,593420.5,28067,42000583.25,40089.875,41956,0.000045,594083.871443,0.047297,0.034542,0.034528,2735.185803,2734.773588,400.94363,1.863819,402.807448,0.147191,94.506567,93.123718,0.114703,0.363257,0.001388,0.106501,0.004976,111754.299413,427.149252,0.01885,0.000881,0.011895,0.029526,3659.440468,0.005226,700157.539477,161867.100277,0.231187,25761.928725,111433.445077,114372.591356,259317.607214,59950.77788,718624.754818,266157.316599
1.616941,253.4625,253.233882,1.000001,31,2069,593904.625,27764.125,41997980.125,40087.5,41956.25,0.000045,594553.235828,0.046748,0.033994,0.033981,2733.026536,2732.665006,398.801312,1.863819,400.66513,0.146521,92.935608,91.55274,0.114703,0.363453,0.001584,0.106583,0.005058,111814.523816,487.373655,0.018864,0.000895,0.011841,0.02955,3642.784624,0.00523,696433.774757,159136.434029,0.228502,25327.330038,110840.789985,113697.644528,257938.435095,58939.420011,714383.93547,264586.642767
1.746161,253.7625,253.492323,1.000001,31,2069,592491.125,27821.375,41996237.375,40087.875,41943.875,0.000045,593143.964068,0.046957,0.034202,0.034189,2739.520031,2739.141115,405.254824,1.863819,407.118643,0.148529,93.725782,92.342901,0.114703,0.363584,0.001715,0.106638,0.005113,111854.844359,527.694197,0.018874,0.000905,0.012003,0.02948,3692.713601,0.005218,707651.232774,160509.887442,0.226821,25545.921765,112626.102463,115486.938979,262093.049175,59448.10646,725626.412979,268750.523326
1.875382,254.0875,253.750763,1.000001,31,2069,593434.75,27317.75,41993998.75,40079.875,41944,0.000045,594063.180119,0.046033,0.03328,0.033267,2735.28107,2734.985985,401.070658,1.863819,402.934476,0.147226,91.059704,89.676805,0.114703,0.363753,0.001884,0.106709,0.005184,111906.639053,579.488892,0.018887,0.000918,0.011898,0.029527,3660.310411,0.005226,700378.33871,155875.696301,0.222559,24808.367922,111468.586339,114195.888102,259399.384707,57731.739371,717514.494649,265746.109129
2.008502,254.325,254.017004,1.000001,31,2069,595438.875,27639.875,41990580.625,40070.125,41959.75,0.000045,596080.042068,0.046419,0.033665,0.033652,2726.026131,2725.692741,391.733052,1.863819,393.596871,0.144304,91.801806,90.418881,0.114703,0.36401,0.002141,0.106817,0.005292,111985.726917,658.576755,0.018906,0.000937,0.011662,0.029627,3587.668645,0.005244,684147.7681,157165.567702,0.229725,25013.657169,108885.412843,111721.601201,253388.062259,58209.469519,701968.079237,259988.177495
2.142922,254.5625,254.285844,1.000001,31,2069,594315.125,27149.875,41989022.125,40073.5,41942.25,0.000045,594934.940574,0.045683,0.032929,0.032917,2731.273052,2731.008294,397.028369,1.863819,398.892187,0.145961,89.970094,88.587157,0.114703,0.364127,0.002258,0.106866,0.005341,112021.788478,694.638317,0.018914,0.000945,0.011796,0.02957,3628.863849,0.005234,693352.055758,153981.67622,0.222083,24506.925502,110350.319561,113038.853607,256797.057688,57030.250452,710244.626756,263053.565465
2.276304,254.8875,254.552607,1.000001,31,2069,590956,27903,41988150,40070.125,41940.625,0.000045,591614.37723,0.047217,0.034462,0.034448,2746.602911,2746.201683,412.21043,1.863819,414.074249,0.150678,94.681359,93.298415,0.114703,0.364192,0.002324,0.106894,0.005369,112041.968619,714.818457,0.018919,0.00095,0.012177,0.029404,3746.153729,0.005204,719741.425658,162170.75677,0.225318,25810.257119,114550.314899,117422.076357,266570.898392,60063.243248,737785.249351,273253.796056
2.404743,255.175,254.809485,1.000001,31,2069,591288.625,28508.125,41987093.625,40060.625,41941.75,0.000045,591975.46507,0.048214,0.035458,0.035443,2744.927563,2744.430277,410.425301,1.863819,412.28912,0.150126,97.354363,95.971411,0.114703,0.364272,0.002403,0.106927,0.005402,112066.412475,739.262313,0.018925,0.000956,0.012132,0.029421,3732.40948,0.005207,716638.525172,166816.942657,0.232777,26549.719984,114056.47334,117105.792948,265421.67599,61784.052836,735797.980507,272517.770558
2.538122,255.4625,255.076245,1.000001,31,2069,594714.625,27163.125,41983775.125,40059.625,41937.125,0.000045,595334.629052,0.045674,0.032921,0.032909,2729.439363,2729.174723,395.126619,1.863819,396.990438,0.145362,89.886729,88.503751,0.114703,0.364521,0.002653,0.107032,0.005507,112143.202947,816.052785,0.018944,0.000975,0.011747,0.02959,3613.987699,0.005237,690046.446147,153836.700732,0.222937,24483.851955,109824.215868,112520.297714,255572.757832,56976.555827,706986.441406,261846.83015
2.667083,255.6875,255.334165,1.000001,31,2069,594059,27664.75,41981844,40054,41932.375,0.000045,594702.811389,0.046569,0.033815,0.033802,2732.339144,2731.994005,397.920791,1.863819,399.78461,0.146235,92.42286,91.039868,0.114703,0.364667,0.002798,0.107093,0.005568,112187.891122,860.74096,0.018955,0.000986,0.011818,0.029558,3635.671194,0.005231,694903.259225,158244.963631,0.227722,25185.44823,110597.201065,113428.60171,257371.577491,58609.245789,712693.488251,263960.551204
2.796043,255.9625,255.592086,1.000001,31,2069,594502.5,27239.75,41981255,40063.5,41935.875,0.000045,595126.227355,0.045819,0.033066,0.033054,2730.39516,2730.117784,396.036909,1.863819,397.900728,0.145645,90.313959,88.930962,0.114703,0.364711,0.002842,0.107112,0.005587,112201.521426,874.371265,0.018958,0.000989,0.01177,0.02958,3621.024106,0.005235,691628.706938,154579.274918,0.2235,24602.036214,110076.040295,112791.820771,256158.780348,57251.583303,708692.472442,262478.693497
2.925264,256.2125,255.850528,1.000001,31,2069,594600.375,26975.375,41979844.875,40061.375,41937.75,0.000045,595211.959563,0.045367,0.032614,0.032603,2730.001884,2729.764877,395.665658,1.863819,397.529477,0.145528,89.068647,87.685639,0.114703,0.364817,0.002948,0.107156,0.005632,112234.154219,907.004057,0.018966,0.000997,0.011761,0.029584,3618.112976,0.005236,690983.40035,152414.661831,0.220576,24257.527614,109973.336643,112616.883363,255919.777907,56449.874752,707593.307416,262071.595339
3.058643,256.475,256.117286,1.000001,31,2069,594366.625,27742.875,41978623.625,40065,41934.625,0.000045,595013.741041,0.046676,0.033922,0.033909,2730.911336,2730.555824,396.440713,1.863819,398.304532,0.14577,92.667113,91.284096,0.114703,0.364909,0.00304,0.107195,0.00567,112262.416655,935.266493,0.018973,0.001004,0.01178,0.029573,3624.11777,0.005234,692330.59676,158669.479419,0.229182,25253.011963,110187.749441,113044.481246,256418.739541,58766.473859,710279.986279,263066.661585
3.188123,256.7,256.376246,1.000001,31,2069,593892,27468.5,41976394.75,40058.25,41929.125,0.000045,594526.892711,0.046252,0.033498,0.033485,2733.147635,2732.831919,398.687795,1.863819,400.551613,0.14647,91.584445,90.201411,0.114703,0.365077,0.003208,0.107266,0.005741,112313.999077,986.848915,0.018985,0.001016,0.011837,0.029549,3641.530273,0.00523,696236.460653,156787.562375,0.225193,24953.4958,110809.386494,113584.317086,257865.355797,58069.467546,713671.877586,264322.917625
3.317863,256.9625,256.635727,1.000001,31,2069,592648.375,27771.125,41976837.875,40060.125,41928.375,0.000045,593298.686813,0.046859,0.034105,0.034092,2738.805608,2738.43556,404.297205,1.863819,406.161023,0.148218,93.435477,92.052446,0.114703,0.365043,0.003174,0.107252,0.005727,112303.743786,976.593625,0.018983,0.001014,0.011978,0.029488,3684.976186,0.005219,705986.704241,160005.021214,0.22664,25465.569873,112361.184729,115210.811483,261476.557126,59261.118968,723891.451379,268107.944955
3.447084,257.2,256.894167,1.000001,31,2069,592907.25,27463.75,41975103.5,40055.625,41928.375,0.000045,593542.976259,0.04632,0.033566,0.033554,2737.678375,2737.357846,403.196907,1.863819,405.060726,0.147874,91.924432,90.541388,0.114703,0.365174,0.003305,0.107306,0.005782,112343.882997,1016.732836,0.018992,0.001023,0.01195,0.0295,3676.439401,0.005221,704074.173454,157378.507969,0.223525,25047.547638,112056.796241,114822.058972,260768.21239,58288.336285,721448.845377,267203.276065
3.580204,257.325,257.160408,1.000001,31,2069,593370.625,26907.875,41973171.375,40052.125,41929.75,0.000045,593980.414113,0.045348,0.032594,0.032583,2735.662207,2735.428991,401.242885,1.863819,403.106704,0.147265,89.19959,87.81653,0.114703,0.365319,0.00345,0.107368,0.005843,112388.600006,1061.449844,0.019003,0.001034,0.011901,0.029523,3661.282311,0.005225,700677.704242,152642.177193,0.217849,24293.73778,111516.231805,114131.746904,259510.26083,56534.139701,717111.483299,265596.845666
3.712804,257.625,257.425608,1.000001,31,2069,592790,27266,41971709,40054.125,41923.125,0.000045,593416.732875,0.045996,0.033242,0.03323,2738.260788,2737.970099,403.764938,1.863819,405.628757,0.148049,91.057223,89.674153,0.114703,0.365429,0.00356,0.107414,0.005889,112422.445988,1095.295826,0.019011,0.001042,0.011964,0.029495,3680.772299,0.00522,705061.52165,155871.085523,0.221074,24807.634094,112213.937463,114923.393921,261133.896907,57730.031675,722085.552143,267439.093386
3.842024,257.875,257.684048,1.000001,31,2069,592623.875,27379.375,41970277.625,40052.75,41926,0.000045,593256.004938,0.0462,0.033446,0.033434,2739.002652,2738.693582,404.469764,1.863819,406.333583,0.148267,91.640232,90.25715,0.114703,0.365537,0.003668,0.107459,0.005934,112455.575193,1128.425032,0.019019,0.00105,0.011982,0.029486,3686.194678,0.005219,706286.645712,156884.448466,0.222126,24968.915688,112408.921859,115148.653766,261587.64656,58105.351284,723500.902613,267963.297264
3.976185,258.2,257.95237,1.000001,31,2069,592367.25,27600.25,41969073,40051.25,41926.875,0.000045,593009.892559,0.046593,0.033839,0.033826,2740.139399,2739.794524,405.555001,1.863819,407.418819,0.148603,92.752893,91.369802,0.114703,0.365627,0.003759,0.107497,0.005972,112483.456806,1156.306644,0.019026,0.001057,0.012009,0.029474,3694.555592,0.005217,708172.9979,158818.452115,0.224265,25276.721685,112709.143896,115508.71732,262286.295518,58821.648931,725763.250438,268801.203866
