	Time     	Sample     	Program     	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static     	Static     	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage     	Loss Modulus	Tan Delta     	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
	          	Temperature	Temperature	          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     	Modulus     	          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
	397.071290	361.637500	344.442438	1.000001	31.000000	2069.000000	603362.000000	21212.250000	41536238.750000	39617.000000	41507.250000	0.000045	603734.761790	0.035157	0.022412	0.022409	2691.462996	2691.968320	351.840209	1.863819	353.704028	0.131301	60.360186	58.973606	0.114703	0.398299	0.036430	0.121188	0.019663	122534.596022	11207.445861	0.021449	0.003480	0.010611	0.030017	3264.404204	0.005313	614806.262730	102507.575290	0.166732	16314.574388	97849.378245	99200.131856	227706.023233	37965.768626	623293.304700	230849.372111 
	397.200769	361.875000	344.701397	1.000001	31.000000	2069.000000	603994.375000	21004.375000	41535617.875000	39610.500000	41508.125000	0.000045	604359.486399	0.034776	0.022032	0.022028	2688.680839	2689.207189	349.070281	1.863819	350.934100	0.130407	59.274021	57.887436	0.114703	0.398346	0.036477	0.121208	0.019683	122549.062484	11221.912322	0.021453	0.003484	0.010539	0.030048	3242.163152	0.005318	609991.590044	100619.600503	0.164952	16014.094106	97083.099894	98395.017634	225922.811128	37266.518705	618234.618839	228975.784755 
	397.333370	362.137500	344.966598	1.000001	31.000000	2069.000000	604702.000000	21325.000000	41535444.000000	39609.625000	41509.625000	0.000045	605077.899472	0.035265	0.022521	0.022517	2685.488550	2685.983584	345.844212	1.863819	347.708031	0.129363	60.517411	59.130824	0.114703	0.398359	0.036490	0.121213	0.019688	122553.113818	11225.963657	0.021454	0.003485	0.010454	0.030083	3216.211241	0.005324	604384.055768	102780.850943	0.170059	16358.067524	96190.633803	97571.637295	223845.946581	38066.981831	613061.163496	227059.690184 
	397.464150	362.412500	345.228158	1.000001	31.000000	2069.000000	604952.625000	21164.375000	41534844.125000	39614.250000	41506.125000	0.000045	605322.731494	0.034985	0.022241	0.022237	2684.402363	2684.913556	344.765683	1.863819	346.629501	0.129013	59.741397	58.354805	0.114703	0.398404	0.036535	0.121232	0.019707	122567.091153	11239.940991	0.021457	0.003488	0.010426	0.030096	3207.512024	0.005327	602509.362442	101431.978814	0.168349	16143.388028	95892.267329	97241.636713	223151.615719	37567.399561	610987.707042	226291.743349 
	397.597010	362.700000	345.493878	1.000001	31.000000	2069.000000	605093.500000	21497.000000	41534600.000000	39612.375000	41507.375000	0.000045	605475.238760	0.035527	0.022782	0.022778	2683.726215	2684.204256	344.052923	1.863819	345.916742	0.128782	61.178842	59.792248	0.114703	0.398423	0.036554	0.121240	0.019715	122572.779404	11245.629243	0.021458	0.003489	0.010407	0.030103	3201.761807	0.005328	601270.448092	103930.534452	0.172852	16541.045193	95695.088143	97114.139396	222692.758552	38492.790538	610186.617142	225995.043386 
	397.726231	362.887500	345.752320	1.000001	31.000000	2069.000000	605474.000000	21003.750000	41534562.750000	39606.875000	41507.750000	0.000045	605838.198028	0.034690	0.021946	0.021942	2682.118387	2682.645657	342.493796	1.863819	344.357614	0.128276	58.898649	57.512054	0.114703	0.398426	0.036557	0.121241	0.019716	122573.647353	11246.497191	0.021459	0.003490	0.010366	0.030122	3189.181253	0.005331	598560.381991	99967.115042	0.167013	15910.247902	95263.768068	96583.236096	221689.030367	37024.857423	606850.850686	224759.574328 
	397.855192	363.225000	346.010242	1.000001	31.000000	2069.000000	606304.625000	21006.375000	41534049.875000	39605.500000	41511.500000	0.000045	606668.415271	0.034647	0.021903	0.021899	2678.447946	2678.975427	338.816297	1.863819	340.680116	0.127080	58.702347	57.315748	0.114703	0.398464	0.036596	0.121257	0.019732	122585.597712	11258.447550	0.021461	0.003492	0.010270	0.030163	3159.442578	0.005339	592168.175448	99625.897167	0.168239	15855.941434	94246.417606	95570.906191	219321.546462	36898.480432	600490.189262	222403.773801 
	397.987010	363.462500	346.273879	1.000001	31.000000	2069.000000	607009.875000	20983.875000	41533626.125000	39601.500000	41513.375000	0.000045	607372.465097	0.034569	0.021825	0.021822	2675.343161	2675.873200	335.708064	1.863819	337.571882	0.126066	58.427498	57.040896	0.114703	0.398497	0.036628	0.121271	0.019746	122595.471468	11268.321306	0.021464	0.003495	0.010188	0.030198	3134.243947	0.005345	586765.462153	99148.150513	0.168974	15779.905752	93386.549760	94710.364278	217320.541538	36721.537227	595083.240670	220401.200248 
	398.117532	363.787500	346.534921	1.000001	31.000000	2069.000000	607413.125000	21149.375000	41533012.125000	39603.250000	41510.375000	0.000045	607781.211033	0.034819	0.022075	0.022071	2673.543935	2674.058186	333.884345	1.863819	335.748164	0.125470	59.054884	57.668276	0.114703	0.398543	0.036674	0.121290	0.019765	122609.778338	11282.628177	0.021467	0.003498	0.010140	0.030218	3119.425720	0.005348	583595.485817	100238.659177	0.171761	15953.465459	92882.032756	94242.161844	216146.476228	37125.429325	592141.435689	219311.642848 
	398.247531	364.000000	346.794920	1.000001	31.000000	2069.000000	607763.500000	21098.750000	41532369.750000	39604.500000	41510.375000	0.000045	608129.615447	0.034715	0.021971	0.021968	2672.012231	2672.531605	332.348657	1.863819	334.212475	0.124967	58.744974	57.358362	0.114703	0.398592	0.036723	0.121310	0.019786	122624.746528	11297.596366	0.021471	0.003502	0.010099	0.030236	3106.930149	0.005351	580926.160492	99699.967444	0.171622	15867.730075	92457.196772	93808.944631	215157.837219	36925.913868	589419.449503	218303.499816 
