Filename:	P:\+Courses\MatSci\Spring2016\Emily_Adam\DMA\Nomex 1 Temperature Scan.dm8d 
Operator ID:	Adam 
Sample ID:	Nomex #1 
Comment: 	Temperature Scan at .010 mm 
Serial Number:	3066274 
Data Collected:	2/22/2016 6:21:24 PM 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\2_16_16 Tension.dm8c 
Date/Time:	 
Initial Conditions 
Temperature:	 
Measuring System:	Tension - Rectangle 
Clamp Mass	9.343 g 
Length:	5.650 mm 
Width:	5.910 mm 
Thickness:	0.550 mm 
End Condition:	Go To Load 
Total Points in Run:	1288 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 27.00°C to 400.00°C at 2.00°C/min 
 
1) DMA8000 Temperature Scan 
	Time     	Sample     	Program     	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static     	Static     	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage     	Loss Modulus	Tan Delta     	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
	          	Temperature	Temperature	          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     	Modulus     	          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
	1.242354	26.400000	29.484707	1.000001	332.000000	2296.000000	979720.125000	224564.625000	43663296.375000	40876.000000	43982.875000	0.000044	1005127.252706	0.229213	0.215849	0.212587	17313.701948	16968.599629	14652.652222	1.863819	14654.516041	0.863531	3673.264992	3671.892740	1.298232	1.423080	0.047724	0.053908	0.013053	437803.375148	14682.199844	0.009541	0.002310	0.747375	0.048747	229926.284257	0.008628	25472393.672277	6382462.383760	0.250564	1015799.632793	4054054.153849	4179378.419852	9434219.878621	2363874.956948	26259829.882837	9725862.919569 
	1.370795	26.400000	29.741590	1.000001	332.000000	2296.000000	981316.750000	224927.750000	43670380.250000	40878.750000	43988.250000	0.000044	1006764.648044	0.229210	0.215846	0.212585	17285.543059	16940.939463	14625.052459	1.863819	14626.916278	0.863311	3667.211057	3665.838840	1.298232	1.422558	0.047202	0.053684	0.013278	437642.732117	14521.556813	0.009502	0.002350	0.747186	0.048826	229867.911563	0.008642	25424419.925912	6371939.531342	0.250623	1014124.870142	4046418.901025	4171565.074983	9416451.824412	2359977.604201	26210737.150263	9707680.426023 
	1.501054	26.400000	30.002108	1.000001	332.000000	2296.000000	982646.875000	224956.625000	43676374.625000	40882.375000	43996.625000	0.000044	1008067.638643	0.228929	0.215567	0.212318	17263.200411	16919.966830	14604.130833	1.863819	14605.994652	0.863145	3657.917550	3656.545364	1.298232	1.422116	0.046760	0.053494	0.013467	437506.804222	14385.628918	0.009468	0.002384	0.747042	0.048893	229823.606674	0.008654	25388054.078609	6355785.665133	0.250346	1011553.904522	4040631.101252	4165326.037438	9402982.992077	2353994.690790	26171536.090178	9693161.514881 
	1.630014	26.537500	30.260028	1.000001	332.000000	2296.000000	983231.625000	224819.625000	43681263.125000	40876.000000	44000.250000	0.000044	1008607.104965	0.228654	0.215293	0.212056	17253.966969	16911.854933	14596.060461	1.863819	14597.924280	0.863082	3651.511524	3650.139362	1.298232	1.421756	0.046400	0.053340	0.013622	437395.958625	14274.783320	0.009441	0.002411	0.746987	0.048922	229806.783880	0.008659	25374026.205793	6344650.790285	0.250045	1009781.735553	4038398.497721	4162730.063294	9397787.483627	2349870.663068	26155225.090656	9687120.403947 
	1.758975	26.750000	30.517949	1.000001	332.000000	2296.000000	983933.000000	224245.750000	43685934.750000	40887.375000	44005.750000	0.000044	1009163.170593	0.227908	0.214551	0.211347	17244.459747	16905.110204	14589.355356	1.863819	14591.219174	0.863030	3637.467408	3636.095269	1.298232	1.421411	0.046056	0.053192	0.013769	437290.035290	14168.859986	0.009414	0.002437	0.746942	0.048956	229792.864349	0.008665	25362371.430455	6320239.430984	0.249197	1005896.550130	4036543.584085	4159989.420152	9393470.900169	2340829.418883	26138005.108297	9680742.632703 
	1.888195	27.012500	30.776391	1.000001	332.000000	2296.000000	984523.500000	224131.500000	43689155.750000	40892.125000	44009.500000	0.000044	1009713.549154	0.227655	0.214299	0.211106	17235.060070	16896.749114	14581.021551	1.863819	14582.885370	0.862963	3631.403328	3630.031206	1.298232	1.421174	0.045818	0.053090	0.013871	437217.005744	14095.830440	0.009396	0.002455	0.746884	0.048985	229775.249584	0.008670	25347885.660772	6309698.911996	0.248924	1004218.975759	4034238.104062	4157346.850040	9388105.800286	2336925.522961	26121401.337440	9674593.087941 
	2.018717	27.350000	31.037434	1.000001	332.000000	2296.000000	985377.000000	224042.750000	43691921.750000	40894.875000	44013.125000	0.000044	1010526.093654	0.227368	0.214014	0.210833	17221.201692	16884.122894	14568.418740	1.863819	14570.282559	0.862862	3623.843983	3622.471875	1.298232	1.420970	0.045615	0.053003	0.013959	437154.294114	14033.118810	0.009381	0.002471	0.746797	0.049028	229748.335573	0.008677	25325979.528221	6296559.327585	0.248621	1002127.747607	4030751.637544	4153458.653470	9379992.417860	2332059.010217	26096971.058528	9665544.836492 
	2.151577	27.700000	31.303154	1.000001	332.000000	2296.000000	985750.125000	224114.375000	43694201.875000	40893.125000	44014.000000	0.000044	1010905.812635	0.227354	0.214000	0.210820	17214.733021	16877.810597	14562.125724	1.863819	14563.989543	0.862812	3622.259639	3620.887543	1.298232	1.420802	0.045447	0.052930	0.014031	437102.599596	13981.424292	0.009368	0.002483	0.746754	0.049046	229734.984748	0.008681	25315041.045142	6293805.450047	0.248619	1001689.454731	4029010.725271	4151663.424228	9375941.127831	2331039.055573	26085691.291593	9661367.145034 
	2.280535	28.062500	31.561070	1.000001	332.000000	2296.000000	986014.125000	223987.625000	43696301.375000	40893.875000	44020.500000	0.000044	1011135.159537	0.227165	0.213812	0.210640	17210.828354	16874.627900	14558.960769	1.863819	14560.824588	0.862787	3618.386161	3617.014075	1.298232	1.420647	0.045292	0.052864	0.014097	437055.001127	13933.825823	0.009356	0.002495	0.746732	0.049059	229728.375927	0.008683	25309539.738547	6287072.611243	0.248407	1000617.891003	4028135.165826	4150555.273450	9373903.606869	2328545.411571	26078728.569394	9658788.359035 
	2.408975	28.575000	31.817951	1.000001	332.000000	2296.000000	986147.625000	223861.375000	43697817.625000	40895.875000	44017.750000	0.000044	1011237.387318	0.227006	0.213654	0.210489	17209.088481	16873.466631	14557.812306	1.863819	14559.676125	0.862779	3615.463990	3614.091911	1.298232	1.420536	0.045180	0.052816	0.014145	437020.626286	13899.450981	0.009348	0.002504	0.746725	0.049066	229726.063861	0.008684	25307543.486783	6281993.322848	0.248226	999809.497788	4027817.452742	4150052.103828	9373164.254364	2326664.193647	26075567.058910	9657617.429226 
